streams,acousticness,danceability,energy,liveness,speechiness,valence
126341117.00,0.19,0.73,0.54,0.12,0.03,0.22
21621107.00,0.04,0.83,0.78,0.13,0.13,0.66
195466670.00,0.91,0.34,0.21,0.34,0.04,0.36
93302192.00,0.45,0.75,0.76,0.18,0.09,0.66
11329589.00,0.10,0.68,0.77,0.11,0.07,0.33
5638628.00,0.00,0.78,0.60,0.25,0.05,0.36
91628236.00,0.69,0.72,0.83,0.10,0.04,0.79
26288833.00,0.49,0.69,0.41,0.07,0.03,0.54
43711124.00,0.08,0.89,0.62,0.54,0.11,0.39
13875317.00,0.32,0.46,0.37,0.11,0.03,0.29
14236116.00,0.91,0.48,0.12,0.09,0.03,0.42
26703849.00,0.15,0.72,0.76,0.17,0.40,0.80
616465.00,0.09,0.65,0.72,0.14,0.03,0.16
3297760.00,0.55,0.63,0.58,0.13,0.06,0.39
4869735.00,0.36,0.59,0.68,0.14,0.14,0.49
2636828.00,0.44,0.52,0.59,0.19,0.46,0.39
989265.00,0.00,0.55,0.64,0.42,0.04,0.51
183582476.00,0.66,0.65,0.38,0.18,0.05,0.54
7260666.00,0.44,0.66,0.43,0.13,0.22,0.09
534534.00,0.00,0.35,0.80,0.45,0.06,0.22
85338021.00,0.10,0.61,0.75,0.10,0.37,0.48
204469447.00,0.16,0.76,0.61,0.69,0.04,0.64
843563.00,0.91,0.56,0.17,0.11,0.03,0.10
31116066.00,0.26,0.61,0.78,0.10,0.07,0.31
1694037.00,0.60,0.50,0.66,0.36,0.05,0.26
789189.00,0.14,0.69,0.74,0.09,0.30,0.43
26858388.00,0.46,0.32,0.35,0.11,0.03,0.27
17980462.00,0.27,0.80,0.65,0.12,0.07,0.38
15680074.00,0.19,0.54,0.84,0.35,0.04,0.53
658107046.00,0.10,0.90,0.59,0.79,0.06,0.64
592705.00,0.01,0.59,0.79,0.10,0.08,0.50
4928769.00,0.17,0.84,0.85,0.55,0.28,0.69
51847225.00,0.10,0.66,0.58,0.13,0.05,0.46
716349.00,0.15,0.81,0.74,0.16,0.16,0.37
362211560.00,0.09,0.74,0.79,0.05,0.04,0.55
36284134.00,0.00,0.97,0.56,0.11,0.06,0.36
2150688.00,0.28,0.61,0.69,0.21,0.18,0.31
974687.00,0.01,0.81,0.53,0.13,0.16,0.25
503393.00,0.22,0.63,0.71,0.21,0.03,0.48
548845.00,0.14,0.76,0.60,0.12,0.31,0.65
733078.00,0.01,0.81,0.60,0.06,0.06,0.67
959633.00,0.07,0.88,0.78,0.12,0.29,0.93
695050.00,0.27,0.31,0.50,0.09,0.04,0.19
829533.00,0.05,0.66,0.77,0.09,0.05,0.22
1292535.00,0.17,0.54,0.41,0.11,0.05,0.27
25539334.00,0.05,0.46,0.55,0.16,0.34,0.42
530581921.00,0.19,0.77,0.52,0.10,0.03,0.42
2568248.00,0.07,0.75,0.85,0.35,0.14,0.62
32677291.00,0.46,0.76,0.57,0.10,0.06,0.26
5101190.00,0.05,0.42,0.84,0.11,0.12,0.49
77274224.00,0.00,0.65,0.72,0.05,0.21,0.22
2277766.00,0.62,0.72,0.58,0.06,0.03,0.42
584075.00,0.02,0.88,0.68,0.12,0.09,0.49
141491444.00,0.44,0.53,0.52,0.20,0.06,0.13
377647.00,0.17,0.62,0.99,0.17,0.05,0.90
7777963.00,0.13,0.76,0.87,0.72,0.30,0.77
628825.00,0.11,0.62,0.53,0.06,0.04,0.19
16362134.00,0.02,0.78,0.76,0.12,0.06,0.86
640298.00,0.18,0.52,0.59,0.14,0.22,0.37
18230812.00,0.61,0.61,0.46,0.13,0.04,0.18
15180782.00,0.37,0.65,0.54,0.10,0.05,0.50
12273578.00,0.92,0.53,0.22,0.09,0.11,0.35
6516294.00,0.13,0.69,0.79,0.26,0.25,0.57
1023478.00,0.00,0.48,0.73,0.06,0.04,0.06
958848.00,0.47,0.71,0.75,0.18,0.16,0.37
4785789.00,0.17,0.90,0.72,0.25,0.36,0.97
2385931.00,0.02,0.92,0.54,0.10,0.24,0.60
1353382.00,0.23,0.76,0.40,0.12,0.16,0.48
1686719.00,0.01,0.88,0.50,0.12,0.07,0.47
3518987.00,0.08,0.76,0.59,0.18,0.23,0.81
7333207.00,0.10,0.33,0.41,0.11,0.03,0.47
10441249.00,0.04,0.71,0.62,0.15,0.03,0.22
903590.00,0.11,0.83,0.56,0.07,0.54,0.58
583857.00,0.01,0.83,0.64,0.09,0.24,0.18
676845.00,0.02,0.69,0.63,0.21,0.09,0.72
40919065.00,0.50,0.78,0.57,0.13,0.06,0.67
1093399.00,0.59,0.74,0.79,0.24,0.04,0.77
4732100.00,0.19,0.81,0.65,0.09,0.04,0.71
34456460.00,0.12,0.58,0.70,0.09,0.05,0.44
1730741.00,0.05,0.87,0.69,0.17,0.08,0.34
898553.00,0.34,0.84,0.75,0.07,0.14,0.76
767533.00,0.38,0.85,0.56,0.10,0.06,0.46
140443870.00,0.06,0.75,0.57,0.08,0.08,0.65
8033298.00,0.14,0.72,0.61,0.08,0.12,0.81
981656.00,0.00,0.62,0.58,0.13,0.06,0.52
2395880.00,0.32,0.78,0.59,0.07,0.12,0.67
555061.00,0.21,0.75,0.76,0.06,0.09,0.70
15741993.00,0.42,0.78,0.83,0.11,0.18,0.79
609283930.00,0.06,0.78,0.78,0.08,0.13,0.67
2878811.00,0.19,0.79,0.75,0.27,0.09,0.49
121882339.00,0.03,0.57,0.74,0.11,0.13,0.45
90206045.00,0.08,0.80,0.89,0.27,0.04,0.79
711493.00,0.03,0.69,0.74,0.05,0.11,0.64
1384966.00,0.15,0.71,0.79,0.41,0.32,0.85
11574188.00,0.63,0.55,0.47,0.12,0.48,0.14
3220811.00,0.04,0.52,0.64,0.11,0.06,0.32
42045124.00,0.04,0.91,0.54,0.25,0.36,0.66
20652019.00,0.02,0.85,0.75,0.39,0.06,0.39
111238360.00,0.11,0.80,0.59,0.16,0.07,0.41
51366320.00,0.01,0.74,0.83,0.09,0.04,0.52
719621.00,0.01,0.62,0.65,0.31,0.13,0.66
706626.00,0.09,0.87,0.67,0.10,0.22,0.49
55734953.00,0.08,0.59,0.64,0.11,0.12,0.65
2760069.00,0.18,0.78,0.58,0.10,0.17,0.34
152364843.00,0.03,0.49,0.59,0.09,0.05,0.19
121776037.00,0.00,0.80,0.58,0.36,0.05,0.37
683935.00,0.00,0.75,0.77,0.70,0.04,0.50
927252.00,0.27,0.31,0.67,0.37,0.22,0.13
68793130.00,0.18,0.79,0.74,0.12,0.08,0.78
2329429.00,0.84,0.48,0.01,0.11,0.10,0.57
228536586.00,0.16,0.54,0.86,0.14,0.20,0.40
